search,title,subtitle,location,snippet,link,fulltext
Python,"Programador Python Júnior","Caderno Nacional","Brasília, BR","Conhecimentos em programação (back end), python (swagger, flask), c++, c, c# (menos importante), linux, banco de dados (api), my sql, ...","https://br.linkedin.com/jobs/view/programador-python-j%C3%BAnior-at-caderno-nacional-1543548089?refId=2250638b-1805-4eba-99a8-afc0bcb01e7f&position=1&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click","Região / Bairro: Asa Norte Requisitos Nível superior concluído na área de ti ou curso de extensão na área de ti. Conhecimentos em programação (back end), python (swagger, flask), c++, c, c# (menos importante), linux, banco de dados (api), my sql, sqlite, protocolos, mqtt (for iot), tcp, udp, diagramas, casos de uso, classe, objetos, estado de máquina, versionamento, git, docker (container), diferencial conhecimento de internet das coisas, arduino, esp, raspbery. Dias da Semana: Não Informado Horário / Período A definir A Empresa Oferece Salário: a combinar Benefícios: Vale Alimentação, Vale Transporte, Convênio Médico Forma de contratação: CLT Os interessados na oportunidade deverão encaminhar o currículo atualizado."
Python,"Desenvolvedor Python","Requisita Recursos Humanos","Brasília, BR","Estamos com Oportunidades para Desenvolvedor Python! Análise, desenvolvimento e manutenção de sistemas;","https://br.linkedin.com/jobs/view/desenvolvedor-python-at-requisita-recursos-humanos-1608042197?refId=2250638b-1805-4eba-99a8-afc0bcb01e7f&position=2&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click","Estamos com Oportunidades para Desenvolvedor Python! Responsabilidades e atribuições Análise, desenvolvimento e manutenção de sistemas;"
Python,"Desenvolvedor Python","REQUISITA RECURSOS HUMANOS","Brasília, BR","Efetivo – CLT Área e especialização profissional: Informática, TI, Telecomunicações - Programador / Desenvolvedor Nível ...","https://br.linkedin.com/jobs/view/desenvolvedor-python-at-requisita-recursos-humanos-1501549741?refId=2250638b-1805-4eba-99a8-afc0bcb01e7f&position=3&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click","Vaga de Desenvolvedor Python em Distrito Federal. A combinar. Período Integral. Efetivo – CLT Área e especialização profissional: Informática, TI, Telecomunicações - Programador / Desenvolvedor Nível hierárquico: Analista Local de trabalho: Brasília, DF Regime de contratação de tipo Efetivo – CLT Jornada Período Integral Descrição da Responsabilidades e Atribuições Estamos Busca Profissional Para Atuar Como Desenvolvedor, Utilizando As Tecnologias Python e Javascript Requisitos e Qualificações Experiência Com Linguagem Javascript, Python e Framework ReactJS, Angular e Django Conhecimentos Em Nosso cliente é uma empresa de médio porte especializada na venda de serviços de tecnologia. Linux Ferramentas de versionamento (Git) Bancos de Dados (PostgreSQL) HTML/CSS Será considerado diferencial o conhecimento em PHP (Zend Framework), Bootstrap, OracleSQL, Postgis, Geoprocessamento. Informações adicionais Salário e benefícios a combinar."
Python,"Desenvolvedor Python - Brasília",Empresa,"Brasília, BR","Diferencial pós graduação ou certificação na área de desenvolvimento de software. Especificar e detalhar os requisitos para o time ...","https://br.linkedin.com/jobs/view/desenvolvedor-python-bras%C3%ADlia-at-empresa-1587907799?refId=2250638b-1805-4eba-99a8-afc0bcb01e7f&position=4&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click","Levantamento dos requisitos junto a área de negócio. Especificar e detalhar os requisitos para o time de desenvolvimento. Acompanhar e validar os desenvolvimentos. Homologar as demandas. Desenvolver documentação técnica e funcional do sistema. Vaga para Tempo integral Comercial. Ensino superior completo Superior completo em Ciências da Computação, Sistemas de Informação. Diferencial pós graduação ou certificação na área de desenvolvimento de software."
Python,"Solutions Architect (Software Engineer) LATAM",Bitmovin,"Brasília, BR","Ideal Solution Architect candidates have online video as well as software engineering and web development/SaaS experience as well as ...","https://br.linkedin.com/jobs/view/solutions-architect-software-engineer-latam-at-bitmovin-1565086086?refId=2250638b-1805-4eba-99a8-afc0bcb01e7f&position=5&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click","Bitmovin provides API based Software that helps developers around the world to solve the most complex video problems with a video player library that plays everywhere. Come join the team building innovative online video software for developers and content owners worldwide! We're hiring Solution Architects to foster our customers' technical success and overall happiness! Ideal Solution Architect candidates have online video as well as software engineering and web development/SaaS experience as well as proven success building strong relationships with customers. If you have these characteristics coupled with a desire to apply your skills to make our customers outspoken Bitmovin fans, we want to meet you! Solution Architects are responsible for getting new customers quickly up to speed with Bitmovin, ensuring that they get the most out of the platform, and helping them continue to develop and expand their successful use of Bitmovin's Video Infrastructure for the Web.ill... As a Solution Architect you will Understanding the customer's needs and designing flexible and scalable solutions together with the customers Helping new and existing customers to be successful with the products of Bitmovin Assisting customers with the architecture of their applications Building strong relationships with the developers of our customers Optimize our internal and external documentation and processes Work closely with other teams to improve our product offerings and messaging around new products Gain unique insights into how the biggest media and technologies companies worldwide scale and operate using Bitmovin Making Bitmovin customers wildly successful It would be great if you have BS or MS in Computer Science, Engineering, or a related technical discipline or equivalent experience Solid experience in software engineering, web development, and deployment Interest in Online Video Streaming Designing, scaling and monitoring high traffic web applications Working directly with technical customers as well as thoroughly understanding technical concepts Experience in one or more modern web languages (Ruby, Python, Node.js, PHP, JavaScript, Java, Scala, Go) in a development capacity Full professional English proficiency Bitmovin's Benefits Working with an innovative, fast-growing and international team with low hierarchy Opportunity to make an impact on the multimedia industry, with target markets EU, US and APAC Competitive salary Flexible work hours Investment in growth and education No routines, but new challenging projects with global impact Free snacks and great coffee Open spaced office Regular and fun team activities  Choose your own hardware The opportunity to work for an exciting start-up, building innovative video solutions About Bitmovin Bitmovin, a YCombinator company, is a fast growing privately owned technology leader, located in San Francisco, CA and Klagenfurt, Austria. The company was founded by the co-creators of international media standards like MPEG-DASH, that is used today by Netflix, Youtube, and others. Bitmovin is the technology leader in online video technologies such as cloud-based encoding, adaptive streaming players, 360°/VR streaming and performance analytics. Bitmovin is backed by top investors such as Atomico as well as industry leaders like the former VP Engineering of Netflix, former CTO of Cisco, founder of Unity3D, and many others. Bitmovin's customers include the top media and technology companies worldwide, including Ooyala, RTL, Pro7Sat1, Bouygues Telecom, Cloudflare, Technicolor, Televisa, Zattoo and many others. Working at Bitmovin is fast-paced, fun and challenging with colleagues and customers worldwide. Bitmovin is an equal opportunity employer. We value diversity at our company and do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. STARTING TIME: Immediately Empower your future and join us now!"
Python,"Desenvolvedor full stack","AvantSec - Soluções de Vanguarda no Combate às Ameaças Digitais","Brasília Area, Brazil","Trabalhamos com aplicação de BigData para segurança da informação, OSINT, IoT e resposta a incidentes. Estamos procurando ...","https://br.linkedin.com/jobs/view/desenvolvedor-full-stack-at-avantsec-solu%C3%A7%C3%B5es-de-vanguarda-no-combate-%C3%A0s-amea%C3%A7as-digitais-1578519454?refId=2250638b-1805-4eba-99a8-afc0bcb01e7f&position=6&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click","Estamos procurando desenvolvedores full stack com experiência em PHP, Python, javascript e C++. Bancos de dados NoSQL, SQL e message brokers. Trabalhamos com aplicação de BigData para segurança da informação, OSINT, IoT e resposta a incidentes. Conhecimento em machine learning e deep learning são desejáveis."
Python,"Desenvolvedor Python","Caderno Nacional","Brasília, BR","Desenvolver gráficos com as bibliotecas/framework plotly, d3.js e plotly dash, com foco em qualidade, bem como ux e interface intuitiva....","https://br.linkedin.com/jobs/view/desenvolvedor-python-at-caderno-nacional-1596216312?refId=2250638b-1805-4eba-99a8-afc0bcb01e7f&position=7&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click","Atividades Desenvolvimento e manutenção de aplicações web com react. Desenvolver gráficos com as bibliotecas/framework plotly, d3.js e plotly dash, com foco em qualidade, bem como ux e interface intuitiva. Preparação de dados com python. Apoiar o desenvolvimento de componentes próprios de gráficos para a framework plotly dash. Requisitos Domínio da linguagem de programação python. Experiência com desenvolvimento de gráficos com a biblioteca plotly. Experiência com desenvolvimento de gráficos com a biblioteca d3.js. Experiência com a linguagem javascript. Experiência com ferramentas de versionamento de código, como git. Conhecimento em metodologias ágeis (scrum). Desejável experiência com desenvolvimento de gráficos com a framework plotly dash. Dias da Semana: Não Informado Horário / Período A definir A Empresa Oferece Salário: a combinar Benefícios: Convênio com Academia, Convênio Médico, Convênio Odontológico, Seguro de Vida Os interessados na oportunidade deverão encaminhar o currículo atualizado."
Python,"Desenvolvedor full stack",Probono,"Brasília e Região","Remuneração de R$ 1.700,00 (+ R$ 300,00 após 3 meses de teste), este é o menor valor que você receberá, investimos em cursos e ...","https://br.linkedin.com/jobs/view/desenvolvedor-full-stack-at-probono-1608544115?refId=2250638b-1805-4eba-99a8-afc0bcb01e7f&position=8&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click","Vaga presencial para desenvolvedor full stack para trabalhar em uma Startup. Remuneração de R$ 1.700,00 (+ R$ 300,00 após 3 meses de teste), este é o menor valor que você receberá, investimos em cursos e todos tem a possibilidade de virar sócio após o primeiro ano em contrato de vesting; Obs: Todos que trabalham com a probono recebem o mesmo valor de R$2.000,00. Necessário ser MEI. A vaga não é CLT. Local: Ed. Victoria Office Tower. Setor de Autarquias Sul Q. 4 Bloco A - Asa Sul, Brasília - DF, 70070-938. Perfil: - Interessada em conhecer o meio de startup; - Aberto a críticas e mudanças; - Gostar de trabalhar em grupo; - Autogerenciável; - Inquieto e sempre buscando melhorias. Conhecimento necessário: - Conhecimento em Node.js; - Conhecimento em Javascript(ES6); - Conhecimento em React; - Conhecimento em Python; - Não é necessário conhecimento jurídico. Funções: - Desenvolvimento de aplicações full stack; - Planejamento e descoberta de novas features; - Pesquisa de dores e novas features; - Planejamento de futuras entregas; - Desenvolvimento de pipelines de integração/entrega contínua; - Descoberta de novas métricas de resultado e trabalho; - Descoberta de novas atividades, necessidades e funções de desenvolvimento. Quem somos? - A Probono é uma legaltech que vem crescendo bastante. Para conhecer mais entre no nosso site https://probono.digital/ Requisitos: - Ter computador para exercer as funções da empresa; - Aceitamos somente cadastros pelo LinkedIn; - Não aceitaremos cadastro sem currículo. Etapas: - Seleção curricular Vamos selecionar as pessoas que se encaixam na vaga conforme divulgada; - Envio de trabalho técnico Será enviado um trabalho idêntico a todos participantes. Serão selecionados os trabalhos que cumprem com o esperado; - Debate sobre solução criada Todos os selecionados irão debater sobre as soluções propostas por cada um e devem chegar a uma solução em conjunto. Nesta etapa estamos avaliando comportamento, procuramos pessoas que gostam de trabalhar em grupo, sabem expor suas ideias, escutar as ideias diferentes e chegar a uma melhor solução. - Resultado Após a entrevista uma pessoa será selecionada. Todos serão avisados do resultado próprio."
Python,"Analista de Infraestrutura Linux Pleno","Hepta Tecnologia e Informática","Brasília, BR","Responsável por planejar, implantar, implementar, monitorar e administrar a infraestrutura de TI do cliente para garantir níveis ...","https://br.linkedin.com/jobs/view/analista-de-infraestrutura-linux-pleno-at-hepta-tecnologia-e-inform%C3%A1tica-1583599551?refId=2250638b-1805-4eba-99a8-afc0bcb01e7f&position=9&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click","Efetivo (CLT) Período Integral Responsável por planejar, implantar, implementar, monitorar e administrar a infraestrutura de TI do cliente para garantir níveis adequados de serviços e recursos. Brasília/DF 09:00-18:00 ESCOLARIDADE Superior - Completo Na área de TI CONHECIMENTOS Cloud Computing ATIVOS DE REDES:Protocolos de rede - DNS ATIVOS DE REDES:Protocolos de rede - DHCP ATIVOS DE REDES:Protocolos de rede - IPv4 Administração de servidores Linux ATIVOS DE REDES: Protocolos de rede - IPv6 ATIVOS DE REDES: F5 (Firewall de aplicação) APLICAÇÃO: Aplicações Web APLICAÇÃO: Suporte e aplicações Jboss APLICAÇÃO: Suporte e aplicações PHP APLICAÇÃO: Suporte e aplicações Apache FERRAMENTAS DE GERENCIAMENTO: Monitoramento de Infraestrutura Zabbix Relacionamento interpessoal Resiliência trabalho em equipe Programação em Shell Script, Python; Virtualização VMware COMUNICAÇÃO: Antispam VIRTUALIZAÇÃO: Infraestrutura de Redes VIRTUALIZAÇÃO: Hyper-V SISTEMA OPERACIONAL: Equipamentos de rede (servidores) SISTEMA OPERACIONAL: Infraestrutura de redes SISTEMA OPERACIONAL: Puppet (Automação de Infraestrutura) SISTEMA OPERACIONAL: Protocolo de rede - DNS SISTEMA OPERACIONAL: Protocolo de rede - DHCP SISTEMA OPERACIONAL: Protocolo de rede - IPv4 APLICAÇÃO: Puppet (Automação de Infraestrutura) APLICAÇÃO: Docker APLICAÇÃO: Suporte e administração em servidor de aplicação, Servidor WEB Monitoramento/Log (Zabbix, Graylog, ELK) SISTEMA OPERACIONAL: Protocolo de rede - IPv6 Troubleshooting ATIVOS DE REDE: Infraestrutura de redes CERTIFICAÇÕES LPIC-2 (201) Opcional Red Hat Certified System Administrator Opcional LPIC-2 (202) Opcional Salário: à combinar Responsável: Laiz Exigências   Ensino Superior  Benefícios   Assistência Médica, Assistência Odontológica, Vale Alimentação, Vale Refeição, Vale Transporte"
Python,"Quantitative Developer / SAS Developer (Brasília - DF)",SAS,"Brasília, BR","If so, then you may be the new team member we’re looking for. Because at SAS, your curiosity matters – whether you’re developing ...","https://br.linkedin.com/jobs/view/quantitative-developer-sas-developer-bras%C3%ADlia-df-at-sas-1509426643?refId=2250638b-1805-4eba-99a8-afc0bcb01e7f&position=10&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click","Company Overview Are you a problem solver, explorer, and knowledge seeker – always asking, “What if?” If so, then you may be the new team member we’re looking for. Because at SAS, your curiosity matters – whether you’re developing algorithms, creating customer experiences or answering critical questions. Curiosity is our code, and the opportunities here are endless. What We Do We’re the leader in analytics. Through our software and services, we inspire customers around the world to transform data into intelligence. Our curiosity fuels innovation, pushing boundaries, challenging the status quo and changing the way we live O SAS Institute recruta estudantes e recém-graduados para 2 posições em Brasília - DF: Quantitative Developer Formação: Ciências econômicas, Ciências Atuariais, Estatística, matemática, ou Engenharias Obrigatório  Matemática Financeira  Algebra Linear (Vetores / Matrizes)  Nível Avançado em alguma linguagem de Programação (SAS, R, SPSS, Matlab, Python)  Estatística Básica  Inglês avançado  SQL Avançado Desejável  Inferência e Probabilidade  Noções de Processo Estocástico  Estrutura de Dados Diferencial (plus)  Produtos Financeiros e Mercado de capitais  Finanças Corporativas  Gestão de Riscos  Modelos estocásticos aplicado à finanças  Econometria Soft Skills  Resolução de Problemas  Boa Comunicação Oral e Escrita  Trabalho em equipe Desenvolvedor SAS:  Formação: Ciências da Computação, sistemas de informação ou correlatos Importante: Bacharelado ou experiência prévia com desenvolvimento. Obrigatório  Lógica de Programação  Estrutura de Dados  Domínio de SQL  Domínio em alguma linguagem de programação (C, Java, Python, PHP) Desejável  Estatística  Noções de Finanças Corporativas e mercado financeiro Diferencial (plus)  SAS ou R Soft Skills  Resolução de Problemas  Boa Comunicação Oral e Escrita  Trabalho em equipe"
