tag,count,tag_type
Node,36,servidores
Jboss,30,servidores
Apache,21,servidores
Express,16,servidores
WebSphere,16,servidores
Tomcat,15,servidores
Hadoop,13,servidores
Spark,7,servidores
IIS,6,servidores
WebLogic,5,servidores
Firebase,2,servidores
Amplify,0,servidores
Scrum,52,metodologias_de_desenvolvimento
Ágil,44,metodologias_de_desenvolvimento
kanban,20,metodologias_de_desenvolvimento
devops,13,metodologias_de_desenvolvimento
Java,158,linguagens
SQL,140,linguagens
HTML,91,linguagens
JavaScript,85,linguagens
CSS,84,linguagens
PHP,46,linguagens
Python,32,linguagens
C#,19,linguagens
NoSQL,16,linguagens
Ruby,10,linguagens
C++,7,linguagens
TypeScript,4,linguagens
Angular,63,frameworks
Spring,47,frameworks
JPA,39,frameworks
React,38,frameworks
Node,36,frameworks
Hibernate,33,frameworks
.NET,31,frameworks
EJB,25,frameworks
Docker,23,frameworks
Express,16,frameworks
Laravel,12,frameworks
Vue,11,frameworks
space,10,frameworks
Ionic,7,frameworks
Rails,6,frameworks
pandas,3,frameworks
Kubernetes,2,frameworks
TensorFlow,2,frameworks
Django,2,frameworks
Flask,1,frameworks
keras,1,frameworks
PWA,1,frameworks
Pytorch,1,frameworks
rancher,1,frameworks
scikit-learn,1,frameworks
Gatsby,0,frameworks
matplotlib,0,frameworks
NLTK,0,frameworks
opencv,0,frameworks
resteasy,0,frameworks
seaborn,0,frameworks
Symfony,0,frameworks
Git,93,ferramentas_de_produtividade
IDEA,19,ferramentas_de_produtividade
Eclipse,6,ferramentas_de_produtividade
Xcode,4,ferramentas_de_produtividade
GitLab,2,ferramentas_de_produtividade
Atom,1,ferramentas_de_produtividade
IntelliJ,1,ferramentas_de_produtividade
jupyter,1,ferramentas_de_produtividade
VSCode,0,ferramentas_de_produtividade
Sublime,0,ferramentas_de_produtividade
pycharm,0,ferramentas_de_produtividade
AndroidStudio,0,ferramentas_de_produtividade
AWS,18,cloud
Azure,9,cloud
Oracle,44,banco_de_dados
PostgreSQL,34,banco_de_dados
MySQL,33,banco_de_dados
DB2,31,banco_de_dados
MongoDB,15,banco_de_dados
Redis,2,banco_de_dados
SQLite,1,banco_de_dados
