search,title,subtitle,location,snippet,link,fulltext
Python,"DevOps Engineer",24i,"Brasília, Federal District, Brazil","What you will be doing. We are looking for someone who has... Please let us know! And as always, we are eager to learn: Any outage or ...","https://br.linkedin.com/jobs/view/devops-engineer-at-24i-1578576563?refId=8583e06a-2239-44a5-8643-4be148940c9a&position=1&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click","Are you the type of person who can’t stand manual labor and automates it away immediately? Are you the type of person who can drive down the costs of our systems while also increasing their operational efficiency? Or, are you passionate about creating systems and tools that give customers, as well as our own developers, the best experience possible? Then read on because this job could be the right fit for you. IMPORTANT BEFORE YOU APPLY: This position is only applicable if you are in posession of a EU citizenship. We will reimburse your relocation costs. What you will be doing As a DevOps Engineer you will be working 4+ days on-site, with a team of dedicated but fun professionals. Together your responsibilities are focussed on ensuring operational excellence in everything we do. You will be responsible for the design and automation of CI/CD pipelines across the plethora of platforms supported by our VOD and SmartOTT solutions. This includes setting up KISS processes and procedures supported by efficient automation. In addition, you will ensure the availability/capacity/etc for those same services. You will be empowering our development teams by providing tools and introducing automated self-services to build, run and guard their solutions, and you will be paving the way towards immutable infrastructure setup as Infrastructure-As-Code and ending our (limited) co-located sites. Why you want to work with us We are present in the full vertical of media content delivery. From front-end apps to transcoding, streaming, securing, cataloging, up to content storage. And we will be on-boarding more and more of our clientele into our SaaS-vertical. As our company expands our SaaS services and our developer teams, we will scale up our DevOps engineers into a yet to be determined NoOps / SRE / Infrastructure+Self-services setup. We also have implemented a hard toil limit to ensure improvement work is balanced against the incoming issues and requests. And as always, we are eager to learn: Any outage or near-miss results in an RCA followed by preventive work so we become more experienced and more prepared for the future. We are looking for someone who has... A bachelor degree in software engineering or similar engineering discipline Demonstrated skill and passion for operational excellence Experience with scripting languages, preferably Bash, Python, NodeJS Experience with ever-expansive gated CI/CD systems, such as Jenkins, Atlassian Bamboo, TravisCI, etc A willingness to participate in a rotating out-of-office hours emergency shift Proficiency with the English Language And preferably... Experience with utilizing AWS services, especially in setting up full-blown VPCs Experience in moving away from traditional infrastructure into containerized microservices and immutable infrastructure A good understanding of configuration management languages, such as Terraform, AWS CloudFormation and/or Ansible Experience with agile & lean working methods If the prospect of this job is exciting you and you would like to join a team that continues to grow, we'd love to hear from you! Interested? Questions? Want to show us what you can do? Please let us know!"
Python,"Desenvolvedor Python","Requisita Recursos Humanos","Brasília, BR","Estamos com Oportunidades para Desenvolvedor Python! Análise, desenvolvimento e manutenção de sistemas;","https://br.linkedin.com/jobs/view/desenvolvedor-python-at-requisita-recursos-humanos-1608042197?refId=8583e06a-2239-44a5-8643-4be148940c9a&position=2&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click","Estamos com Oportunidades para Desenvolvedor Python! Responsabilidades e atribuições Análise, desenvolvimento e manutenção de sistemas;"
Python,"Analista Linux Sênior","Caderno Nacional","Brasília, BR","Conhecimentos em plataforma linux, python, php, ruby, gtk, c, c++, js, perl, bash, docker, kubernets, devops. Nível superior concluído ...","https://br.linkedin.com/jobs/view/analista-linux-s%C3%AAnior-at-caderno-nacional-1606675928?refId=8583e06a-2239-44a5-8643-4be148940c9a&position=3&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click","Requisitos Nível superior concluído na área de ti ou curso de extensão na área de ti. Conhecimentos em plataforma linux, python, php, ruby, gtk, c, c++, js, perl, bash, docker, kubernets, devops. Dias da Semana: Não Informado Horário / Período A definir A Empresa Oferece Salário: a combinar Benefícios: Vale Alimentação, Vale Transporte, Convênio Médico, Convênio Odontológico, Seguro de Vida Forma de contratação: CLT Os interessados na oportunidade deverão encaminhar o currículo atualizado."
Python,"Desenvolvedor Python","REQUISITA RECURSOS HUMANOS","Brasília, BR","Efetivo – CLT Área e especialização profissional: Informática, TI, Telecomunicações - Programador / Desenvolvedor Nível ...","https://br.linkedin.com/jobs/view/desenvolvedor-python-at-requisita-recursos-humanos-1501549741?refId=8583e06a-2239-44a5-8643-4be148940c9a&position=4&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click","Vaga de Desenvolvedor Python em Distrito Federal. A combinar. Período Integral. Efetivo – CLT Área e especialização profissional: Informática, TI, Telecomunicações - Programador / Desenvolvedor Nível hierárquico: Analista Local de trabalho: Brasília, DF Regime de contratação de tipo Efetivo – CLT Jornada Período Integral Descrição da Responsabilidades e Atribuições Estamos Busca Profissional Para Atuar Como Desenvolvedor, Utilizando As Tecnologias Python e Javascript Requisitos e Qualificações Experiência Com Linguagem Javascript, Python e Framework ReactJS, Angular e Django Conhecimentos Em Nosso cliente é uma empresa de médio porte especializada na venda de serviços de tecnologia. Linux Ferramentas de versionamento (Git) Bancos de Dados (PostgreSQL) HTML/CSS Será considerado diferencial o conhecimento em PHP (Zend Framework), Bootstrap, OracleSQL, Postgis, Geoprocessamento. Informações adicionais Salário e benefícios a combinar."
Python,"Analista de Business Intelligence Pleno - Back-End | Pleno",ProgramaThor,"Brasília, BR","Elaboração de indicadores (KPI's); - Elaboração de relatórios analíticos; - Criação e manutenção de dashboards; - ...","https://br.linkedin.com/jobs/view/analista-de-business-intelligence-pleno-back-end-pleno-at-programathor-1607237106?refId=8583e06a-2239-44a5-8643-4be148940c9a&position=5&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click","Habilidades SQL Server, Python, Data science, Big Data O que nós buscamos Elaboração de indicadores (KPI's); - Elaboração de relatórios analíticos; - Criação e manutenção de dashboards; - Desenvolvimento de processos ETL; - Levantamento de Requisitos de projetos de BI; - Modelagem de dados multidimensional (Data Warehouse); - Report do status de projetos de BI; - Desenvolver e sustentar integrações; - Buscar novas ferramentas e técnicas para a melhoria contínua de nossos sistemas. Principais responsabilidades SQL Server - MySQL - Mongo DB - Tableau - Power BI - Excel Avançado - Python com foco em Data Science Descrição da empresa Somos uma empresa de tecnologia para a recuperação de crédito, cobrança massificada, consolidação imobiliária e veicular. Beneficios"
Python,"Solutions Architect (Software Engineer) LATAM",Bitmovin,"Brasília, BR","Ideal Solution Architect candidates have online video as well as software engineering and web development/SaaS experience as well as ...","https://br.linkedin.com/jobs/view/solutions-architect-software-engineer-latam-at-bitmovin-1565086086?refId=8583e06a-2239-44a5-8643-4be148940c9a&position=6&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click","Bitmovin provides API based Software that helps developers around the world to solve the most complex video problems with a video player library that plays everywhere. Come join the team building innovative online video software for developers and content owners worldwide! We're hiring Solution Architects to foster our customers' technical success and overall happiness! Ideal Solution Architect candidates have online video as well as software engineering and web development/SaaS experience as well as proven success building strong relationships with customers. If you have these characteristics coupled with a desire to apply your skills to make our customers outspoken Bitmovin fans, we want to meet you! Solution Architects are responsible for getting new customers quickly up to speed with Bitmovin, ensuring that they get the most out of the platform, and helping them continue to develop and expand their successful use of Bitmovin's Video Infrastructure for the Web.ill... As a Solution Architect you will Understanding the customer's needs and designing flexible and scalable solutions together with the customers Helping new and existing customers to be successful with the products of Bitmovin Assisting customers with the architecture of their applications Building strong relationships with the developers of our customers Optimize our internal and external documentation and processes Work closely with other teams to improve our product offerings and messaging around new products Gain unique insights into how the biggest media and technologies companies worldwide scale and operate using Bitmovin Making Bitmovin customers wildly successful It would be great if you have BS or MS in Computer Science, Engineering, or a related technical discipline or equivalent experience Solid experience in software engineering, web development, and deployment Interest in Online Video Streaming Designing, scaling and monitoring high traffic web applications Working directly with technical customers as well as thoroughly understanding technical concepts Experience in one or more modern web languages (Ruby, Python, Node.js, PHP, JavaScript, Java, Scala, Go) in a development capacity Full professional English proficiency Bitmovin's Benefits Working with an innovative, fast-growing and international team with low hierarchy Opportunity to make an impact on the multimedia industry, with target markets EU, US and APAC Competitive salary Flexible work hours Investment in growth and education No routines, but new challenging projects with global impact Free snacks and great coffee Open spaced office Regular and fun team activities  Choose your own hardware The opportunity to work for an exciting start-up, building innovative video solutions About Bitmovin Bitmovin, a YCombinator company, is a fast growing privately owned technology leader, located in San Francisco, CA and Klagenfurt, Austria. The company was founded by the co-creators of international media standards like MPEG-DASH, that is used today by Netflix, Youtube, and others. Bitmovin is the technology leader in online video technologies such as cloud-based encoding, adaptive streaming players, 360°/VR streaming and performance analytics. Bitmovin is backed by top investors such as Atomico as well as industry leaders like the former VP Engineering of Netflix, former CTO of Cisco, founder of Unity3D, and many others. Bitmovin's customers include the top media and technology companies worldwide, including Ooyala, RTL, Pro7Sat1, Bouygues Telecom, Cloudflare, Technicolor, Televisa, Zattoo and many others. Working at Bitmovin is fast-paced, fun and challenging with colleagues and customers worldwide. Bitmovin is an equal opportunity employer. We value diversity at our company and do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. STARTING TIME: Immediately Empower your future and join us now!"
Python,"Analista Programador Pleno","Curriculum.com.br","Brasília, BR","Levantar e Analisar os requisitos, mapear os processos e realizar a modelagem de dados em desenvolvimento de novos módulos e realizar ...","https://br.linkedin.com/jobs/view/analista-programador-pleno-at-curriculum-com-br-1626115275?refId=8583e06a-2239-44a5-8643-4be148940c9a&position=7&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click","Analista e Programador Python Pleno; Trabalhar como programador Python em consultoria e ministrando aulas. Levantar e Analisar os requisitos, mapear os processos e realizar a modelagem de dados em desenvolvimento de novos módulos e realizar manutenções corretivas. Bons conhecimentos em Linux e Softwares Livres Conhecimentos em Data Science e ferramentas DevOps"
Python,"Cientista de Dados","Prime IT Solutions","Brasília, BR","Linguagens de programação de análise de dados (R, Python e SQL), visualização de Dados (Spotfire ou PowerBI ou Cognos), data Mining ...","https://br.linkedin.com/jobs/view/cientista-de-dados-at-prime-it-solutions-1573278880?refId=8583e06a-2239-44a5-8643-4be148940c9a&position=8&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click","Cientista de Dados REQUISITOS E ATIVIDADES Graduado ou cursando nível superior na área de Tecnologia da Informação ou afins, Machine Learning, análise de sentimentos e Análise de Conteúdo (NLP, word2vec, bag of words), Git (Gitlab), Hortonworks ou Cloudera. Linguagens de programação de análise de dados (R, Python e SQL), visualização de Dados (Spotfire ou PowerBI ou Cognos), data Mining (Análise exploratória de dados e textos), infraestrutura de Big Data (Hadoop, MapReduce e Spark), Algoritmos: Regressão Logística e (árvore de decisão ou Random Forest ou xgbooster ou regressão linear, etc), Notebook: Jupyter ou Zepellin, Hive, Hbase, Tensorflow, Keras, Pandas, Matlab, Comunicação, estatística e foco em solução de problemas. Conhecimento desejável: SAS Guide Região: Brasília Os currículos devem ser encaminhados com pretensão salarial e disponibilidade para início."
Python,"Desenvolvedor Linux","Caderno Nacional","Brasília, BR","Conhecimentos em linux, python, php, ruby, gtk, c, c++, js, perl, bash, docker, kubernets, devops. Nível superior concluído na área de...","https://br.linkedin.com/jobs/view/desenvolvedor-linux-at-caderno-nacional-1573305900?refId=8583e06a-2239-44a5-8643-4be148940c9a&position=9&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click","Requisitos Nível superior concluído na área de ti ou curso de extensão na área de ti. Conhecimentos em linux, python, php, ruby, gtk, c, c++, js, perl, bash, docker, kubernets, devops. Dias da Semana: Não Informado Horário / Período A definir A Empresa Oferece Salário: a combinar Benefícios: Vale Alimentação, Vale Transporte, Convênio Médico, Convênio Odontológico, Seguro de Vida Forma de contratação: CLT Os interessados na oportunidade deverão encaminhar o currículo atualizado."
Python,"IPAM: Vaga pesquisador auxiliar (mapeamento da cobertura e uso da terra), Brasília – DF",IPAM,"Brasília, BR","O Instituto de Pesquisa Ambiental da Amazônia (IPAM) é uma organização cientí­fica, não-governamental e sem fins lucrativos que ...","https://br.linkedin.com/jobs/view/ipam-vaga-pesquisador-auxiliar-mapeamento-da-cobertura-e-uso-da-terra-bras%C3%ADlia-%E2%80%93-df-at-ipam-1609898036?refId=8583e06a-2239-44a5-8643-4be148940c9a&position=10&pageNum=0&trk=guest_job_search_job-result-card_result-card_full-click"," Empresa Contratante Empresa Contratante: Instituto de Pesquisa Ambiental da Amazônia (IPAM) Ramo da Atividade: Pesquisa ambiental O Instituto de Pesquisa Ambiental da Amazônia (IPAM) é uma organização cientí­fica, não-governamental e sem fins lucrativos que trabalha por um desenvolvimento sustentável da Amazônia que seja pautado pelo crescimento econômico, pela justiça social e pela proteção da integridade funcional dos ecossistemas da região. Fundado em 29 de maio de 1995, em Belém (PA), o IPAM surgiu com uma proposta inovadora na época: engajar a ciência e o ativismo ambiental na região amazônica, construindo bases para a ação de movimentos sociais e para a formulação de políticas públicas. Dados da Vaga Pesquisador Auxiliar Requisitos/Perfil Desejado Formação: Ensino Superior em Ciências Ambientais, Biologia, Geografia, Engenharia Florestal ou Ambiental, Ecologia ou áreas afins. Desejável curso de pós-graduação ou mestrado. Experiência em mapeamento da cobertura e uso da terra, índices de vegetação, degradação florestal e/ou incêndios florestais. Conhecimento médio a avançado sobre sensoriamento remoto e SIG. Facilidade de aprendizado de novas ferramentas de geoprocessamento e SIG. Conhecimento sobre código florestal e políticas ambientais. Conhecimento básico de ferramentas da Google (ex. Google Earth Engine, Google Earth, Google Code Editor). Desejável conhecimento básico de programação (ex. R, Python, PHP, Javascript, Java, SQL). Desejável conhecimento e experiência de campo em fitofisionomias do bioma Cerrado. Atribuições e Responsabilidades Mapear as fitofisionomias, da degradação e dos incêndios florestais do bioma Cerrado. Realizar análises sobre código florestal, incluindo seus instrumentos como Cadastro Ambiental Rural, Programas de Regularização Ambiental e Cotas de Reserva Ambiental. poiar a elaboração de análises e mapas temáticos em Sistema de Informação Geográfica- SIG. Elaboração de relatórios e publicações. Organizar eventos, cursos e seminários. Observação No dia 29/09 apenas os pré-selecionados serão contactados para a entrevista. Entrevistas devem ocorrer no dia 03 e 04/10. Início previsto das atividades: 10/10/2016. Envio de Currículos Envio de currículos até dia 24 de Setembro de 2016 Por gentileza, somente enviar currículo profissionais que se encaixem no perfil, de forma a economizar seu tempo e do recrutador. Documentos Necessários Currículo (máximo de 3 páginas) Carta de apresentação com experiência em relação aos quesitos essenciais, obrigatórios e desejáveis, além de pretensão salarial (máximo 2 páginas) Recrutamento Encerrado"
